planKindId	planTheme	proofContractStatus	runtimeContract	proofFamilyCandidate	proofSourceCandidate	existingCarrierCanOpen	newMaterializerOrWitnessNeeded	admissionMode	admissionPriority	nextAdmissionUnit	notes
opening_development	opening_principles	Deferred	none	opening_relation	opening_relation_claim	partial: opening relation translators exist but raw opening precedent is support-only	yes: exact move-linked opening relation owner proof would be needed before owner admission	deferred/support-only	P4_later	none; keep opening_relation support-only	Opening precedent remains domain support, not direct owner authority.
prophylaxis_restraint	restriction_prophylaxis	Deferred	runtime:counterplay_restraint	counterplay_restraint	prophylactic_move	yes: CounterplayRestraintProof and named prevented-resource seed already feed the runtime proof contract	needed for natural rows: exact named-resource witness/source evidence; no new source-id runtime gate	SupportedLocal target; current natural pass admitted 0	P1_next	counterplay_restraint	Use the existing AdmissionUnitReview shape; current blockers are witness_missing and contract_mismatch.
break_prevention	restriction_prophylaxis	Deferred	runtime:neutralize_key_break	neutralize_key_break	counterplay_axis_suppression	yes: BreakClampMaterializer plus BreakPreventionWitness already feed the runtime proof contract	no new materializer for clean route clamps; more source rows only after fixed exact replay	SupportedLocal open only after SourceReview admits the exact source row; tactical-first veto still absolute	P0_open	neutralize_key_break	Current source fixtures are review-only: Lokvenc-Czerniak, Maderna-Palermo, Sliwa-Gromek, and Polugaevsky-Giorgadze remain owner-witness-missing, while Camara-Bazan and Pfleger-Maalouf are contract mismatches.
key_square_denial	restriction_prophylaxis	Deferred	partial: releases only after remap to local_file_entry_bind/half_open_file_pressure or named counterplay restraint	half_open_file_pressure; counterplay_restraint	local_file_entry_bind; prophylactic_move	partial: LocalFileEntryProof and CounterplayRestraintProof consume key-square shapes, but no standalone plan-kind owner is open	yes for standalone key-square denial; existing file-entry pair can be reused only when certified	public SupportedLocal only after typed remap into an existing runtime proof contract	P2_probe	local_file_entry_bind	Do not admit from broad PositionLocal or key-square text alone.
outpost_entrenchment	piece_redeployment	Releasable	subplan:outpost_entrenchment	outpost_entrenchment	outpost_entrenchment	yes: exact outpost occupation packet and player row are live	no for current exact slice; source rows still need branch proof, stable persistence, and rival/relabel controls	SupportedLocal open only with typed outpost owner proof; not CertifiedOwner	P1_next	outpost_entrenchment	Current piece-redeployment support is not owner proof; no admitted source fixture yet.
worst_piece_improvement	piece_redeployment	Deferred	none	worst_piece_improvement	worst_piece_improvement	no	yes: exact before/after piece-quality witness plus rival-story veto needed	deferred/support-only	P4_later	piece_redeployment_quality	Generic improvement prose should stay support-only.
rook_file_transfer	piece_redeployment	Deferred	runtime:half_open_file_pressure when converted to certified file-entry proof	half_open_file_pressure	local_file_entry_bind; rook_file_transfer	partial: existing LocalFileEntryProof can open the file-entry slice, not pure rook transfer	yes for pure rook-transfer ownership; no for already-certified file-entry pair	public SupportedLocal only through half_open_file_pressure/local_file_entry_bind; runtime may be CertifiedOwner-capable but MoveReview file-entry projection is not	P2_probe	open_file_pressure	Prefer shared half_open_file_pressure boundary over a parallel rook-transfer owner.
bishop_reanchor	piece_redeployment	Deferred	none	bishop_reanchor	bishop_reanchor	no	yes: exact bishop route, target, and persistence witness needed	deferred/support-only	P4_later	piece_redeployment_bishop_reanchor	No current owner lane beyond generic plan support.
open_file_pressure	piece_redeployment	Deferred	runtime:half_open_file_pressure	half_open_file_pressure	local_file_entry_bind; open_file_pressure	yes: LocalFileEntryProof already supports the bounded B4 file-plus-entry lane	source/source-witness expansion needed; do not widen beyond certified file-entry pair	public SupportedLocal only after typed file-entry proof; bounded exact runtime slice exists	P1_next	half_open_file_pressure	AdmissionUnitCatalog already queues this after break/prophylaxis.
flank_clamp	space_clamp	Deferred	runtime:color_complex_squeeze	color_complex_squeeze	color_complex_squeeze_probe	yes: exact Botvinnik-Vidmar source row now projects through the typed color-complex proof	no for the runtime color-complex slice; standalone flank-clamp owner still needs same-branch clamp and release-risk proof	CertifiedOwner open only through the color-complex runtime proof contract	P0_open	color_complex_squeeze; source-botvinnik-vidmar-1936-flank-clamp is public	Broad flank-clamp, heavy-piece/local squeeze, and color-complex prose remain closed unless the typed color-complex packet passes.
