rank	score	scoreReasons	id	gameName	reviewGroup	verdict	diagnosis	blockers	ownerFailureCodes	engineAgreement	plannerOwnership	surfaceGate	mainProofSource	mainClaimScope	packetSummary	contract	contractStatus	contractFailures	release	taxonomy	ply	fen	playedUci	enginePv	primary	moveReview	reason
1	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-25	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	25	r1b1rnk1/pp2qppp/2p5/3p4/3Pn3/2NBPN2/PPQ2PPP/1R3RK1 w - - 0 13	b2b4	b2b4 a7a6 a2a4 e4c3 c2c3 f8g6 b4b5 c6b5 a4b5 c8g4 b5a6 b7a6 f3d2 g6h4 c3c5 e7g5	The move has to happen now because otherwise b4 is demanded immediately.	The move has to happen now because otherwise b4 is demanded immediately. If delayed, the reply becomes forced.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyThis:admission_SupportOnly+move_delta_support_only_outside_quiet_or_conversion_scene+scene=forcing_defense+planner_owner=MoveDelta+planner_source=carlsbad_fixed_target_probe_line
2	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-27	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	27	r1b1rnk1/1p2qppp/p1p5/3p4/1P1Pn3/2NBPN2/P1Q2PPP/1R3RK1 w - - 0 14	a2a4	a2a4 e4c3 c2c3 c8g4 c3c5 g4f3 c5e7 e8e7 g2f3 f8e6 f1c1 g7g6 f3f4 e6c7 h2h4 c7e8 g1g2	The move has to happen now because otherwise a4 is demanded immediately.	The move has to happen now because otherwise a4 is demanded immediately. If delayed, the reply becomes forced. One concrete line that keeps the idea in play is a) a4 Nxc3 Qxc3.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
3	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-30	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	30	r1b1rnk1/1p2qppp/p1p5/3p4/PP1P4/2QBPN2/5PPP/1R3RK1 b - - 0 15	c8g4	c8g4 f3e5 g4h5 c3c2 a8c8 d3f5 c8c7 c2c5 g7g6 c5e7 c7e7 f5c2 g6g5 c2f5 h5g6 f5g6 f8g6 e5g6 h7g6	The move has to happen now because otherwise Bg4 is demanded immediately.	The move has to happen now because otherwise Bg4 is demanded immediately. If delayed, the reply becomes forced. One concrete line that keeps the idea in play is a) g6 b5 cxb5.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
4	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-31	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	31	r3rnk1/1p2qppp/p1p5/3p4/PP1P2b1/2QBPN2/5PPP/1R3RK1 w - - 1 16	f3d2	f3d2 e7g5 f1e1 a8c8 d2f1 h7h5 f2f4 g5f6 c3c2	The move has to happen now because otherwise Nd2 is demanded immediately.	The move has to happen now because otherwise Nd2 is demanded immediately. If delayed, the reply becomes forced. One concrete line that keeps the idea in play is a) Qc5 Bxf3 Qxe7.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
5	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-32	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	32	r3rnk1/1p2qppp/p1p5/3p4/PP1P2b1/2QBP3/3N1PPP/1R3RK1 b - - 2 16	e7g5	e7g5 f1c1 a8c8 d2f1 g4h3 f1g3 h3d7 f2f4 g5g4 c1e1 h7h5 c3c2 g7g6 g3f1 f8h7 h2h3 g4h4	The move has to happen now because otherwise Qg5 is demanded immediately.	The move has to happen now because otherwise Qg5 is demanded immediately. If delayed, the reply becomes forced.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
6	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-33	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	primary_SupportedLocal	supported_local_surface_passed	iqp_inducement_probe	MoveLocal	proof_source=iqp_inducement_probe;proof_family=iqp_inducement;scope=MoveLocal;fallback=WeakMain;same_branch=Proven;persistence=Stable;seed=d5+isolated_pawn:d5+iqp_inducement+coordination improvement+d6+e4+supports immediate tactical gain counterplay+central foothold+improves piece placement+c6+contest the pawn on c6+d5+isolated_pawn:d5+iqp_inducement+fixed_target:c6+queenside+backward_pawn_targeting+b5+a5+f3+c-file+kingside;continuation=f1c1|h7h5+h5+iqp_inducement_probe+fixed_target:d5+d5+best_branch:b4b5|c6b5+b4b5+c6b5+iqp_inducement_branch+isolated_pawn:d5+f1c1+h7h5;suppression=;risks=	subplan:iqp_inducement	Releasable	-	SupportedLocal	source_carlsbad_fixed_target	33	r3rnk1/1p3ppp/p1p5/3p2q1/PP1P2b1/2QBP3/3N1PPP/1R3RK1 w - - 3 17	f1c1	f1c1 h7h5 b4b5 c6b5 a4b5 a6a5 d3f1 h5h4 h2h3 g4h3 d2f3 g5f6 g2h3 f6f3 f1g2 f3f5	This sequence leaves an isolated pawn as the local target.	A key idea is that This sequence leaves an isolated pawn as the local target. Both candidate branches are viable: the played Rfc1 (prophylactic defense) trades via 17. Rfc1 h5 18. b5, whereas Rfe1 (prophylactic defense) follows 17. Rfe1 Ng6 18. Nf1.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhatMattersHere:position_probe_missing
7	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-39	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	39	r4nk1/1p3ppp/2p1r3/1P1p2q1/3P4/2QBP2b/3N1PPP/1RR3K1 w - - 1 20	g2g3	g2g3 g5h5 b1a1 a8e8 d3f1 h3f1 d2f1 h5f3 b5c6 b7c6 c3c2 h7h5 c2d1 f3f5	-	This moves the pawn to g3.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
8	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-40	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	40	r4nk1/1p3ppp/2p1r3/1P1p2q1/3P4/2QBP1Pb/3N1P1P/1RR3K1 b - - 0 20	a8e8	a8e8 b5c6 b7c6 b1b6 e6f6 e3e4 f8e6 e4e5 f6f4 c3c6 e8d8 c6c3 f4d4 d3f1 g5d2 f1h3 d2c3 c1c3 d4e4 h3e6 f7e6	The move has to happen now because otherwise Rae8 is demanded immediately.	The move has to happen now because otherwise Rae8 is demanded immediately. If delayed, the reply becomes forced. One concrete line that keeps the idea in play is a) Rae8 bxc6 bxc6.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only
9	140	engine_top_pv	source-source-evans-opsahl-1950-backward-pawn-targeting-ply-43	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	position_probe_missing	not_reached_no_release	-	-	-	-	-	-	-	source_carlsbad_fixed_target	43	4rnk1/5ppp/2p1r3/3p2q1/3P4/2QBP1Pb/3N1P1P/1RR3K1 w - - 0 22	d3f1	d3f1 g5h5 b1b6 e6h6 f1h3 h5h3 d2f1 e8c8 c3d3 h6f6 d3a6 h3f5 a6e2 f5h3 f1d2 h7h5 e2f1 h3d7 h2h4 c8a8 b6a6 a8a6 f1a6 d7f5 a6e2	-	This puts the bishop on f1.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis
10	140	engine_top_pv	source-source-evans-opsahl-1950-iqp-inducement-backward-pawn-targeting-ply-33	Evans-Opsahl, Dubrovnik Olympiad 1950	B:carlsbad_fixed_target	reject_owner_missing	root_vocabulary_or_extraction_gap	owner:carlsbad_probe_missing	-	top_pv_matches_played	primary_SupportedLocal	supported_local_surface_passed	iqp_inducement_probe	MoveLocal	proof_source=iqp_inducement_probe;proof_family=iqp_inducement;scope=MoveLocal;fallback=WeakMain;same_branch=Proven;persistence=Stable;seed=d5+isolated_pawn:d5+iqp_inducement+coordination improvement+d6+e4+supports immediate tactical gain counterplay+central foothold+improves piece placement+c6+contest the pawn on c6+d5+isolated_pawn:d5+iqp_inducement+fixed_target:c6+queenside+backward_pawn_targeting+b5+a5+f3+c-file+kingside;continuation=f1c1|h7h5+h5+iqp_inducement_probe+fixed_target:d5+d5+best_branch:b4b5|c6b5+b4b5+c6b5+iqp_inducement_branch+isolated_pawn:d5+f1c1+h7h5;suppression=;risks=	subplan:iqp_inducement	Releasable	-	SupportedLocal	source_carlsbad_fixed_target	33	r3rnk1/1p3ppp/p1p5/3p2q1/PP1P2b1/2QBP3/3N1PPP/1R3RK1 w - - 3 17	f1c1	f1c1 h7h5 b4b5 c6b5 a4b5 a6a5 d3f1 h5h4 h2h3 g4h3 d2f3 g5f6 g2h3 f6f3 f1g2 f3f5	This sequence leaves an isolated pawn as the local target.	A key idea is that This sequence leaves an isolated pawn as the local target. Both candidate branches are viable: the played Rfc1 (prophylactic defense) trades via 17. Rfc1 h5 18. b5, whereas Rfe1 (prophylactic defense) follows 17. Rfe1 Ng6 18. Nf1.	admission_blocked: owner:carlsbad_probe_missing; planner_owner_missing_or_surface_unsafe: WhatMattersHere:position_probe_missing
