id	reviewGroup	release	taxonomy	plannerOwner	primary	moveReview	leak	rejected	contractId	contractStatus	contractFailures	note
B15A-certified-carlsbad	B:fixed_target	Suppressed	certified_owner_path	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	-	-	-	Carlsbad fixed-chain pressure exact control.
B16B-certified-carlsbad	B:fixed_target	Suppressed	certified_owner_path	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Trade-resistance pressure exact control.
K09A-certified-coordination	B:target_coordination	CertifiedOwner	certified_owner_path	WhatMattersHere:PositionProbe:target_focused_coordination_probe	the pressure is coordinated on c6.	The key strategic fact here is that the pressure is coordinated on c6. So the task is to keep the pressure coordinated on c6 until the target has to give way.	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	runtime:target_focused_coordination	Releasable	none	Preparatory coordination exact control.
K09D-certified-coordination	B:target_coordination	CertifiedOwner	certified_owner_path	WhatMattersHere:PositionProbe:target_focused_coordination_probe	the pressure is coordinated on c6.	The key strategic fact here is that the pressure is coordinated on c6. So the task is to keep the pressure coordinated on c6 until the target has to give way.	false	WhyThis:missing_move_owner | WhatChanged:state_truth_only | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	runtime:target_focused_coordination	Releasable	none	Coordination blocker still owns the target-focused probe.
B21-certified-target-delta	B:target_fixation_delta	Suppressed	certified_owner_path	-	-	The move improves piece activity and coordination.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement | WhyThis:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target | WhatChanged:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target	subplan:static_weakness_fixation	Releasable	none	Move-local exact target fixation.
B21A-certified-target-delta	B:target_fixation_delta	Suppressed	certified_owner_path	-	-	The move improves piece activity and coordination.	false	WhatMattersHere:position_probe_missing | WhyThis:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target | WhatChanged:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target | WhyThis:strategic_claim_tactical_veto+planner_owner=MoveDelta+planner_source=target	subplan:static_weakness_fixation	Releasable	none	Move-local exact target fixation follow-up.
K09B-certified-simplification	C:simplification	SupportedLocal	certified_owner_path	WhyThis:MoveDelta:target	This trade keeps the same local edge on e6.	A key idea is that This trade keeps the same local edge on e6.	false	WhatMattersHere:position_probe_missing | WhyNow:admission_missing_owner_candidate+scene=quiet_improvement	subplan:simplification_window	Releasable	none	Same-task favorable simplification exact control.
K09F-certified-simplification	C:simplification	SupportedLocal	certified_owner_path	WhyThis:MoveDelta:target	This trade keeps the same local edge on e6.	A key idea is that This trade keeps the same local edge on e6.	false	WhatMattersHere:position_probe_missing	subplan:simplification_window	Releasable	none	Holdable simplification breadth control.
K03A-suppressed-carlsbad	B:blocker	Suppressed	position_probe_not_certified	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Carlsbad sibling row stays closed.
K08A-suppressed-trade-candidate	C:blocker	Suppressed	attacking_piece_trade_unowned	-	-	The move improves piece activity and coordination.	false	WhyThis:missing_move_owner | WhatMattersHere:position_probe_missing | WhatChanged:state_truth_only | WhyNow:generic_urgency_only+demotion_intentional_drop+demote_target_unavailable+demoted_to=WhyThis	-	-	-	Attacking-piece trade candidate stays closed.
