lineage	family	themes	typical_pawn_structures	center_breaks	development_priorities	gambit_compensation	strategic_plan_priors
open_games/italian	C	CenterControl|Development|KingSafety	open_center|e4_e5	c2_c3|d2_d4	knights_before_bishops|castle_kingside	false	central_break|kingside_pressure
open_games/kings_gambit	C	CenterControl|Development|GambitInitiative	open_center|e4_e5	f4_f5|d2_d4	rapid_development|king_safety	true	initiative|king_attack
open_games/ruy_lopez	C	CenterControl|Development|PlanPressure|KingSafety	open_center|e4_e5	d2_d4|c2_c3	minor_piece_development|castle_kingside	false	central_pressure|kingside_safety
open_games/scotch	C	CenterControl|Development|PawnStructure	open_center|e4_e5	d2_d4|c2_c3	rapid_development|minor_piece_development	false	central_activity|piece_activity
open_games/four_knights	C	CenterControl|Development|KingSafety	open_center|symmetrical_development	d2_d4|c2_c3	minor_piece_development|king_safety	false	central_play|piece_activity
open_games/vienna	C	CenterControl|Development|KingSafety	open_center|e4_e5	f2_f4|d2_d4	minor_piece_development|king_safety	false	central_play|kingside_pressure
open_games/petrov	C	CenterControl|Development|PawnStructure	open_center|symmetrical_center	d2_d4|c2_c4	minor_piece_development|king_safety	false	central_tension|piece_activity
open_games/philidor	C	CenterControl|Development|PawnStructure	compact_center|e4_e5	d2_d4|f2_f4	minor_piece_development|king_safety	false	central_break|space_gain
open_games/kings_pawn	C	CenterControl|Development	open_center|e4_e5	d2_d4|f2_f4	minor_piece_development|king_safety	false	central_play|rapid_development
open_games/kings_knight	C	CenterControl|Development|KingSafety	open_center|e4_e5	d2_d4|c2_c3	minor_piece_development|king_safety	false	central_play|piece_activity
open_games/french	C	CenterControl|PawnStructure|PlanPressure	french_chain|blocked_center	c7_c5|f7_f6	minor_piece_development|king_safety	false	central_break|queenside_pressure
open_games/french_winawer	C	CenterControl|PawnStructure|KingSafety|PlanPressure	french_chain|bishop_pressure|closed_center	c7_c5|f7_f6	minor_piece_development|king_safety	false	kingside_pressure|central_break
open_games/center_game	C	CenterControl|Development	open_center|early_queen_activity	d2_d4|f2_f4	rapid_development|king_safety	false	central_play
semi_open/sicilian	B	CenterControl|PawnStructure|PlanPressure	asymmetrical_center|open_c_file	d7_d5|b7_b5	develop_knights|king_safety	false	queenside_counterplay|central_break
semi_open/scandinavian	B	CenterControl|Development|PawnStructure	open_center|early_queen_activity	d7_d5|c7_c6	minor_piece_development|king_safety	false	central_development
semi_open/alekhine	B	CenterControl|Development|PawnStructure	overextended_center|knight_pressure	d7_d6|c7_c5	minor_piece_development|center_pressure	false	center_pressure
semi_open/pirc_modern	B	CenterControl|Development|KingSafety|PlanPressure	hypermodern_center|kingside_fianchetto	e7_e5|c7_c5	fianchetto|king_safety	false	central_break|kingside_counterplay
semi_open/caro_kann	B	CenterControl|PawnStructure|Development	caro_structure|solid_center	c6_c5|e6_e5	minor_piece_development|king_safety	false	central_break|solid_development
queen_pawn/queens_gambit	D	CenterControl|PawnStructure|PlanPressure	queens_pawn_center|minority_attack	c4xd5|e2_e4	minor_piece_development|rook_c_file	false	central_space|queenside_pressure
queen_pawn/slav	D	CenterControl|PawnStructure|Development	slav_structure|semi_open_c_file	c6_c5|e7_e5	minor_piece_development|rook_c_file	false	central_break|queenside_pressure
queen_pawn/albin	D	CenterControl|PawnStructure|Development	central_countergambit|open_center	e7_e5|d4_d3	rapid_development|king_safety	true	central_counterplay
queen_pawn/london	D	CenterControl|Development|PlanPressure	d_pawn_center|light_square_setup	e2_e4|c2_c4	minor_piece_development|king_safety	false	central_space|kingside_pressure
queen_pawn/queen_pawn_system	D	CenterControl|Development|PawnStructure	d_pawn_center|minor_piece_system	e2_e4|c2_c4	minor_piece_development|king_safety	false	central_space|piece_activity
flank/english	A	CenterControl|Development|PawnStructure|PlanPressure	flank_opening|english_reti|symmetrical_english	c2_c4|d2_d4|e2_e4	flexible_development|fianchetto|king_safety	false	flank_pressure|central_transposition|queenside_space
flank/reti	A	CenterControl|Development|PlanPressure	hypermodern_center|flank_development	c2_c4|d2_d4|e2_e4	fianchetto|minor_piece_development	false	central_transposition|piece_activity
flank/bird	A	CenterControl|Development|KingSafety|PlanPressure	dutch_reversed|flank_pawn	f2_f4|e2_e4	minor_piece_development|king_safety	false	kingside_space|central_break
flank/nimzo_larsen	A	CenterControl|Development|PlanPressure	queenside_fianchetto|hypermodern_center	b2_b3|c2_c4|e2_e4	fianchetto|minor_piece_development	false	dark_square_pressure|central_transposition
flank/kings_indian_attack	A	Development|KingSafety|PlanPressure|CenterControl	kingside_fianchetto|closed_center	e2_e4|d2_d3	fianchetto|king_safety	false	kingside_pressure|central_break
flank/zukertort	A	CenterControl|Development|PlanPressure	flexible_development|hypermodern_center	d2_d4|c2_c4	minor_piece_development|king_safety	false	central_transposition|piece_activity
flank/dutch	A	CenterControl|PawnStructure|KingSafety|PlanPressure	dutch_structure|flank_pawn	e7_e5|c7_c5	minor_piece_development|king_safety	false	kingside_space|central_break
flank/benoni	A	CenterControl|PawnStructure|PlanPressure	benoni_structure|queenside_majority	e7_e6|b7_b5	minor_piece_development|fianchetto	false	central_tension|queenside_counterplay
indian/catalan	E	CenterControl|Development|PawnStructure|PlanPressure	catalan_fianchetto|queenside_pressure	c4xd5|e2_e4	fianchetto|minor_piece_development	false	long_diagonal_pressure|central_break
indian/kings_indian	E	CenterControl|Development|KingSafety|PlanPressure	kingside_fianchetto|closed_center	e7_e5|c7_c5	fianchetto|king_safety	false	kingside_counterplay|central_break
indian/gruenfeld	D	CenterControl|Development|PawnStructure|PlanPressure	gruenfeld_center|kingside_fianchetto	c7_c5|e7_e5	fianchetto|piece_activity	false	central_pressure|queenside_pressure
indian/nimzo_indian	E	CenterControl|Development|PawnStructure|PlanPressure	doubled_c_pawns|dark_square_pressure	c4xd5|e2_e4|a2_a3	minor_piece_development|king_safety	false	dark_square_pressure|structural_pressure
indian/queens_indian	E	CenterControl|Development|PawnStructure|PlanPressure	queenside_fianchetto|dark_square_control	c7_c5|d7_d5	fianchetto|minor_piece_development	false	dark_square_control|central_break
indian/bogo_indian	E	CenterControl|Development|PawnStructure	dark_square_pressure|early_bishop_check	c7_c5|d7_d5	minor_piece_development|king_safety	false	piece_activity|central_break
indian/indian_game	E	CenterControl|Development|PawnStructure|PlanPressure	hypermodern_center|indian_defense	c7_c5|e7_e5|d7_d5	fianchetto|minor_piece_development	false	central_break|kingside_attack
eco_c	C	CenterControl|Development	open_games	d2_d4|f2_f4	minor_piece_development|king_safety	false	central_play
eco_a	A	CenterControl|Development|PawnStructure|PlanPressure	flank_opening|english_reti|dutch_structures	c2_c4|d2_d4|e2_e4|f2_f4	flexible_development|fianchetto|king_safety	false	flank_pressure|central_transposition|queenside_space
eco_b	B	CenterControl|PawnStructure	semi_open_games	d7_d5|e7_e5	minor_piece_development	false	counterplay
eco_d	D	CenterControl|PawnStructure	closed_center	c4xd5|e2_e4	minor_piece_development	false	space_and_breaks
eco_e	E	CenterControl|Development|PawnStructure|PlanPressure	indian_defense|hypermodern_center|catalan_structure	c7_c5|e7_e5|d7_d5	fianchetto|knight_development|king_safety	false	central_break|kingside_attack|queenside_pressure
