eco	name	pgn	uci	epd
B20	Sicilian Defense	1. e4 c5	e2e4 c7c5	rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -
B27	Sicilian Defense	1. e4 c5 2. Nf3	e2e4 c7c5 g1f3	rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -
C50	Italian Game	1. e4 e5 2. Nf3 Nc6 3. Bc4	e2e4 e7e5 g1f3 b8c6 f1c4	r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq -
D06	Queen's Gambit	1. d4 d5 2. c4	d2d4 d7d5 c2c4	rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -
D70	Gruenfeld Defense	1. d4 Nf6 2. c4 g6 3. Nc3 d5
B02	Alekhine's Defense	1. e4 Nf6
B00	Nimzowitsch Defense	1. e4 Nc6
A04	Reti Opening	1. Nf3
A02	Bird's Opening	1. f4
A80	Dutch Defense	1. d4 f5
D10	Slav Defense	1. d4 d5 2. c4 c6
E12	Queen's Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 b6
E11	Bogo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+
C30	King's Gambit	1. e4 e5 2. f4
C60	Ruy Lopez	1. e4 e5 2. Nf3 Nc6 3. Bb5
C78	Ruy Lopez: Morphy Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7
C54	Italian Game: Giuoco Piano	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+
C44	Scotch Game	1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4
C47	Four Knights Game	1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6
C42	Petrov's Defense	1. e4 e5 2. Nf3 Nf6
C25	Vienna Game	1. e4 e5 2. Nc3
